Business Name,Category,Market Type,City,Country,Rating,Reviews,Payment Potential,Priority,Opportunity Level,Google Maps URL,Sweet Spot Reason
"Prezzo Italian Restaurant Stevenage Leisure Park","family restaurants","FAMILY_DINING","Stevenage, England",4,1121,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Prezzo+Italian+Restaurant+Stevenage+Leisure+Park/data=!4m7!3m6!1s0x487631c95525f16d:0x7830418327422079!8m2!3d51.8998146!4d-0.2086163!16s%2Fg%2F1td0f_60!19sChIJbfElVckxdkgReSBCJ4NBMHg?authuser=0&hl=en&rclk=1","1121 reviews - Too established"
"Rump and Wade","family restaurants","FAMILY_DINING","Stevenage, England",4.1,768,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Rump+and+Wade/data=!4m7!3m6!1s0x487631c3e6338a7d:0xf58a5a83cef72f5e!8m2!3d51.912606!4d-0.2082534!16s%2Fg%2F11g737qmkh!19sChIJfYoz5sMxdkgRXi_3zoNaivU?authuser=0&hl=en&rclk=1","768 reviews - Too established"
"George & Dragon4.1(709)Pub","steakhouses","FAMILY_DINING","Stockport, England",4.1,709,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/search/George%20%26%20Dragon4.1(709)Pub","709 reviews - Too established"
"BRRGRR® CO Handmade Burgers - Wolverhampton","burger restaurants","OTHER","Wolverhampton, England",4,423,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/BRRGRR%C2%AE+CO+Handmade+Burgers+-+Wolverhampton/data=!4m7!3m6!1s0x48709b9818dd42a3:0x9ab8996a88638d26!8m2!3d52.5884815!4d-2.1262117!16s%2Fg%2F11s5gvjhkt!19sChIJo0LdGJibcEgRJo1jiGqZuJo?authuser=0&hl=en&rclk=1","423 reviews - Too established"
"Burger Boi (Wolverhampton)","burger restaurants","OTHER","Wolverhampton, England",4.1,507,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Burger+Boi+%28Wolverhampton%29/data=!4m7!3m6!1s0x48709bc04b205c39:0x2ca55e3292b276e7!8m2!3d52.5709522!4d-2.1707753!16s%2Fg%2F11ngkhtvsj!19sChIJOVwgS8CbcEgR53aykjJepSw?authuser=0&hl=en&rclk=1","507 reviews - Too established"
"PHAT Buns (Wolverhampton)","burger restaurants","OTHER","Wolverhampton, England",4.1,131,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/PHAT+Buns+%28Wolverhampton%29/data=!4m7!3m6!1s0x48709b69cdbdf89d:0x2eb23643be34a32f!8m2!3d52.5886838!4d-2.1261712!16s%2Fg%2F11w7ctb3m6!19sChIJnfi9zWmbcEgRL6M0vkM2si4?authuser=0&hl=en&rclk=1","131 reviews - Established, budget available"
"Bobby's Burger And Grill","burger restaurants","OTHER","Dudley, England",4.1,111,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Bobby%27s+Burger+And+Grill/data=!4m7!3m6!1s0x487097b6af3cc40d:0x81c893c512d55b34!8m2!3d52.5114271!4d-2.0824868!16s%2Fg%2F11hm3bqsnh!19sChIJDcQ8r7aXcEgRNFvVEsWTyIE?authuser=0&hl=en&rclk=1","111 reviews - Established, budget available"
"Frankie & Benny's","burger restaurants","OTHER","Dudley, England",4,1837,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Frankie+%26+Benny%27s/data=!4m7!3m6!1s0x487099fd4912f98f:0x84ae3b1c11b63477!8m2!3d52.5161966!4d-2.0708227!16s%2Fg%2F1tsr2mzv!19sChIJj_kSSf2ZcEgRdzS2ERw7roQ?authuser=0&hl=en&rclk=1","1837 reviews - Too established"
"Castlegate Harvester","burger restaurants","OTHER","Dudley, England",4.1,3277,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Castlegate+Harvester/data=!4m7!3m6!1s0x487099fd2b56f5e9:0xc7ba4627ed2f7631!8m2!3d52.5160565!4d-2.0732425!16s%2Fg%2F1tf2rnys!19sChIJ6fVWK_2ZcEgRMXYv7SdGusc?authuser=0&hl=en&rclk=1","3277 reviews - Too established"
"Burger factory","burger restaurants","OTHER","Stoke-on-Trent, England",3.2,14,"LOW","HIGH","STANDARD","https://www.google.com/maps/place/Burger+factory/data=!4m7!3m6!1s0x487a693e06a91167:0x19764afbae8547cd!8m2!3d53.0059467!4d-2.1862177!16s%2Fg%2F11sdy_mb3d!19sChIJZxGpBj5pekgRzUeFrvtKdhk?authuser=0&hl=en&rclk=1","14 reviews - Building momentum, eager for help"
